token,sentiment_score,frequency,log_frequency
terrific,4,7.94e-06,-11.7435846883261
rapturous,4,2.57e-07,-15.173800722674567
roflcopter,4,0.0,-23.025850929940457
terrifically,4,1.66e-07,-15.610675820327161
woow,4,3.47e-08,-17.17364845016598
triumphant,4,2.34e-06,-12.965316894465046
win,4,0.000245,-8.314251939256366
winner,4,6.31e-05,-9.67078820363231
winning,4,9.55e-05,-9.25638326335772
wins,4,5.01e-05,-9.901487553867463
wonderful,4,7.08e-05,-9.55565014483622
wonderfully,4,3.55e-06,-12.548534785859605
wooo,4,3.47e-07,-14.87365291407867
wow,4,9.12e-05,-9.302454564393361
wowow,4,6.76e-08,-16.508179657028183
wowww,4,3.02e-08,-17.312118124431088
xoxoxo,4,4.07e-08,-17.014583755536297
xoxoxoxo,4,0.0,-23.025850929940457
overjoyed,4,9.33e-07,-13.884753460706435
triumph,4,9.12e-06,-11.605029789025867
miracle,4,1.35e-05,-11.212813465139918
fucking beautiful,4,9.34e-05,-9.27861814206624
masterpiece,4,6.46e-06,-11.949865760413415
amazing,4,0.000126,-8.979227857362318
awesome,4,8.32e-05,-9.394262008214756
best damn,4,0.000104,-9.171118697284902
brilliant,4,3.55e-05,-10.245975044585462
damn good,4,0.000113,-9.088121854296572
ecstatic,4,2.34e-06,-12.965316894465046
euphoric,4,7.08e-07,-14.160680510288683
exuberant,4,9.33e-07,-13.884753460706435
fabulous,4,1.2e-05,-11.330595574877663
fabulously,4,4.9e-07,-14.52865638503091
fantastic,4,5.13e-05,-9.877817856471712
fucking amazing,4,7.92e-05,-9.443532996518428
masterpieces,4,1.74e-06,-13.261567975124878
fucking fantastic,4,4.14e-05,-10.092227261676985
fucking good,4,0.000184,-8.600574256877175
fucking cute,4,3.69e-05,-10.207296296894365
fucking love,4,0.000162,-8.72791360544813
lolololol,4,1e-07,-16.117096150625237
lololol,4,2.45e-07,-15.221599546412344
lolol,4,3.8e-07,-14.782831460951208
lmfao,4,2.24e-06,-13.008990050236646
fucking great,4,0.000167,-8.697516146745302
lifesaver,4,7.59e-07,-14.091132315923689
lmao,4,1.91e-05,-10.865816987323301
godsend,4,6.03e-07,-14.32118281648947
funny,4,0.000105,-9.161549255426252
funnier,4,2.57e-06,-12.871565749308303
fun,4,0.0002,-8.517192691416362
fucking perfect,4,9.1e-05,-9.30464995254693
fucking loves,4,3.77e-05,-10.185847810993932
heavenly,4,5.75e-06,-12.066293312001894
superb,5,9.12e-06,-11.605029789025867
breathtaking,5,3.98e-06,-12.43420361335543
hurrah,5,8.71e-07,-13.953509056121565
outstanding,5,3.16e-05,-10.362350272819453
thrilled,5,8.71e-06,-11.651027286109512
